record_id,headword_candidate,normalized,part_of_speech,entry_type,historical_gloss_raw,source_page_approx,ocr_confidence,review_priority,existing_master,verification_status,human_review_required
kha-n1906-002441,nep,nep,noun,word,"a bed covering, a razai. \_Imit. ka nep ka tun g] ; — {abbrev. of ""snep "") a covering, skin, rind, bark ; — a. sharp, pointed, intelligent.",156,0.975,1,no,pending,yes
kha-n1906-002445,net-net,net-net,adverb,reduplication,"carelessly (as, kane ka khynnah ka trei net-net ia kaei kaei baroh), roughly.",156,0.975,1,no,pending,yes
kha-n1906-001477,ngah-ngah,ngah-ngah,adjective,reduplication,"as tender as a new born babe ; [as, "" I khunlimo"" iba dang ngah-ngah.'""~\ Ngai, ^ ad. very ; soundly (sweet or sleepy); [as, "" katba > nga nang bam n;ing bang ngai-ufiai;'' u nong- Ngai-ngai, } tub u ong "" katta ki la ioh thiah bha ngai.'""'] Ngai-nt!ai-i)git-ngit, a. Aveak and dizzy; lan^juid; [as, nga'm sngewbhait bha myuta nga shu sngew ngai-ngai-ngit-ngit kumno-re,] Ngain (iong-), ad. very (black); [as, "" Tang shu buh ia u powder, . shu kylla iong ngain ka um.""]",87,0.975,1,no,pending,yes
kha-n1906-001479,ngam-um,ngam-um,verb,compound,"to decide by water-ordeal ; to dive. Nga'n {contr. of "" nga yn ""), 2^hr. I'll, I will.",88,0.975,1,no,pending,yes
kha-n1906-001476,ngang,ngang,adverb,word,"very (bitter) ; [as, "" nga sngawkthang ngang ba nga bam guinine.^^'] Ngang-ngang, o^. obstinately, tenaciously ; [as, "" La nga ono* kumno kumno ruli u shu bat n^ang-ngang ia u;"" '* U dieno* uba skhem ngang -ngang.''^']",87,0.975,1,no,pending,yes
kha-n1906-001480,ngap,ngap,noun,word,the cheek.,88,0.975,1,no,pending,yes
kha-n1906-001486,ngeit-biet,ngeit-biet,verb,compound,"to be superstitious, credulous. \_Imit. ngeit biet- ngeit them.] Ngem (bam-), v. to do wrong secretly, (see bam-ngem.) Ngen, V. to disappear, to be suppressed.",88,0.975,1,no,pending,yes
kha-n1906-001484,ngek ngoi-ngoi ngek,ngek ngoi-ngoi ngek,adverb,phrase,"to stop short ; [as, "" nga tang sliu dumok u sangeh ngekP'",88,0.975,1,no,pending,yes
kha-n1906-001487,ngen-bndi,ngen-bndi,noun,compound,"waning of the moon. Ngep-ng6p, ad. with dishevelled hair ; when just getting up from bed ; [as, "" tang shu khie ngep-ngep u bamja.""]",88,0.975,1,no,pending,yes
kha-n1906-001485,ngeng-ngeng,ngeng-ngeng,adverb,reduplication,"drowsily, heavily ; [as, "" nga sngew ka khlieh ka khia ngeng-7igeng.'""'\ Ngeit, -v. to believe, to be persuaded.",88,0.950,1,no,pending,yes
